PA_PROC_ID,time_idx,Ano,Mes,Valor_Previsto_Mediana,Valor_Melhor_Cenario,Valor_Pior_Cenario
301010048,214,2032,11,106187390.0,104562776.0,106170620.0
301010048,215,2032,12,106186640.0,104581540.0,106139470.0
301010048,216,2033,1,104847760.0,103574780.0,105308660.0
301010048,217,2033,2,104965690.0,103814130.0,105371990.0
301010048,218,2033,3,105040940.0,103979820.0,105338296.0
301010048,219,2033,4,105083976.0,104086190.0,105281704.0
301010048,220,2033,5,105111330.0,104156190.0,105226440.0
301010048,221,2033,6,105131460.0,104205544.0,105183990.0
301010048,222,2033,7,105147690.0,104244580.0,105154660.0
301010048,223,2033,8,105161860.0,104280776.0,105135630.0
301010048,224,2033,9,105173670.0,104315860.0,105126020.0
301010048,225,2033,10,105180270.0,104342100.0,105117500.0
301010048,226,2033,11,105181656.0,104357440.0,105104250.0
301010048,227,2033,12,105181100.0,104367070.0,105088590.0
301010048,228,2034,1,106777670.0,105386824.0,107234104.0
301010048,229,2034,2,106909416.0,105659300.0,107303710.0
301010048,230,2034,3,106991370.0,105846550.0,107261560.0
301010048,231,2034,4,107037416.0,105966800.0,107190080.0
301010048,232,2034,5,107065660.0,106042480.0,107125430.0
301010048,233,2034,6,107084500.0,106095010.0,107073930.0
301010048,234,2034,7,107102424.0,106137170.0,107039800.0
301010048,235,2034,8,107116760.0,106176420.0,107020620.0
301010048,236,2034,9,107128470.0,106213810.0,107009256.0
301010048,237,2034,10,107136250.0,106241970.0,107002460.0
301010048,238,2034,11,107138590.0,106259910.0,106989544.0
301010048,239,2034,12,107137310.0,106269670.0,106973090.0
301010072,120,2025,1,94281440.0,75116200.0,107226720.0
301010072,121,2025,2,95365300.0,76221420.0,109349210.0
301010072,122,2025,3,96893900.0,77891030.0,111108740.0
301010072,123,2025,4,98558750.0,79792080.0,112492690.0
301010072,124,2025,5,100129000.0,81601410.0,113500440.0
301010072,125,2025,6,101520310.0,83224840.0,114267300.0
301010072,126,2025,7,102740670.0,84701400.0,114889016.0
301010072,127,2025,8,103824700.0,86099976.0,115440900.0
301010072,128,2025,9,104739880.0,87372490.0,115913470.0
301010072,129,2025,10,105409740.0,88354776.0,116176140.0
301010072,130,2025,11,105856240.0,89045390.0,116232190.0
301010072,131,2025,12,106163330.0,89533950.0,116168150.0
301010072,132,2026,1,105327930.0,90529220.0,114458080.0
301010072,133,2026,2,106418200.0,91716000.0,116163940.0
301010072,134,2026,3,107679840.0,93173290.0,117436370.0
301010072,135,2026,4,108942504.0,94697440.0,118355140.0
301010072,136,2026,5,110070960.0,96075450.0,118978990.0
301010072,137,2026,6,111033230.0,97270870.0,119431150.0
301010072,138,2026,7,111855280.0,98320500.0,119799720.0
301010072,139,2026,8,112579810.0,99302210.0,120133090.0
301010072,140,2026,9,113174560.0,100178530.0,120410376.0
301010072,141,2026,10,113600904.0,100840504.0,120566984.0
301010072,142,2026,11,113873310.0,101293464.0,120586420.0
301010072,143,2026,12,114037650.0,101588750.0,120511976.0
301010072,144,2027,1,107588080.0,96775220.0,115531830.0
